Sticker Pack,Sticker Name,filename,Default Color,Mask Color
Sewing,Broken sewing machine with sad face,BrokenMachine.png,none,none
Sewing,Sewing machine with sunglasses,CoolMachine.png,d60036,d60036
Sewing,Craft scissors,CraftScissors.png,b8bc0b,d60036
Sewing,Cross stitch ,Crosstitch.png,d60036,d60036
Sewing,Embroidery,Embroidery.png,46c1af,d60036
Sewing,Stork scissors,EmbroideryScissors.png,none,none
Sewing,Embroidery thread,EmbroideryThread.png,d60036,d60036
Sewing,Empty bobbin,EmptyBobbin.png,none,none
Sewing,Out of thread,EmptyThread.png,d60036,d60036
Sewing,Full bobbin,FullBobbin.png,438bda,d60036
Sewing,Hand sewing,HandSewing.png,d60036,d60036
Sewing,Sewing machine,HeartMachine.png,f36078,d60036
Sewing,Needles,MachineNeedles.png,42ae2d,d60036
Sewing,Pins,Pins.png,46c1af,d60036
Sewing,Quilting,Quilting.png,d60036,d60036
Sewing,Rotary cutter,RotaryCutter.png,438bda,d60036
Sewing,Seam ripper,SeamRipperHeart.png,438bda,d60036
Sewing,Ripping,SeamRipping.png,b8bc0b,d60036
Sewing,Scissors,Shears.png,none,none
Sewing,Happy machine,Smilingmachine.png,none,none
Sewing,Thread n needle,ThreadNNeedle.png,46c1af,d60036
Sewing,Thread,ThreadSmiling.png,42ae2d,d60036
Sewing,Pincushion,TomatoPincushion.png,d60036,d60036
Sewing,Vintage machine,VintageMachine.png,none,none
Black Cat,Footprint,BlueFootprint.png,,
Black Cat,Black cat,CatFace.png,,
Black Cat,Love cat,CatFaceHeart.png,,
Black Cat,Cat food can,CatFood.png,,
Black Cat,Cat nap,CatNap.png,,
Black Cat,Catnip mice,CatnipMice.png,,
Black Cat,Chasing mouse,ChasingMouse.png,,
Black Cat,Pouncng yarn,ChasingYarn.png,,
Black Cat,Dream of fish,DreamyKitty.png,,
Black Cat,Feed me,FeedMe.png,,
Black Cat,Cat was here,Footprints.png,,
Black Cat,High five,HighFive.png,,
Black Cat,Say what?,Huh.png,,
Black Cat,Silhouette,KittyLeft.png,,
Black Cat,Helping,Lounging.png,,
Black Cat,Love you kitty,LoveYou.png,,
Black Cat,Love you lots,LoveYouLots.png,,
Black Cat,Meow,Meow.png,,
Black Cat,Purrs,Purrpurr.png,,
Black Cat,Footprint too,RedFootprint.png,,
Black Cat,Seriously,Seriously.png,,
Black Cat,Sleepy kitty,SleepyKitty.png,,
Black Cat,Two cats,TwoCats.png,,
Black Cat,Two footprints,TwoFootprints.png,,
Knitting,Circular needle,CircularNeedle.png,none,none
Knitting,Circular knitting,CircularNeedle2.png,ff647c,00bab3
Knitting,Crochet Geek,CrochetGeek.png,c6d500,00bab3
Knitting,Crochet,CrochetHook.png,a979c5,00bab3
Knitting,Darning needle,DarningNeedle.png,00bab3,00bab3
Knitting,DPN Knitting,DPN.png,4dc0df,00bab3
Knitting,Hand-dyed,GradientYarn.png,none,none
Knitting,Granny Square,GrannySquare.png,00bab3,00bab3
Knitting,Knit Geek,KnitGeek.png,ff647c,00bab3
Knitting,WIP,KnittingWIP.png,c6d500,00bab3
Knitting,Locking markers,LockingStitchMarker.png,c6d500,00bab3
Knitting,Love my stash,LoveStash.png,00bab3,00bab3
Knitting,Love yarn,LoveYarn.png,a979c5,00bab3
Knitting,Needle gauge,NeedleGauge.png,none,none
Knitting,Sad yarn,SadYarnBall.png,00bab3,00bab3
Knitting,Happy yarn,SmilingYarnBall.png,c6d500,00bab3
Knitting,Stitch markers,StarStitchMarkers.png,00bab3,00bab3
Knitting,Straight needles,StrightNeedle.png,4DC0DF,00bab3
Knitting,Cool yarn,SunglassesYarnBall.png,4DC0DF,00bab3
Knitting,Tangled yarn,TangledYarnBall.png,FF647C,00bab3
Knitting,Yarn ball,YarnBall.png,FF647C,00bab3
Knitting,Yarn skein,YarnSkein.png,00bab3,00bab3
Knitting,Wool yarn,YarnSkeinToo.png,A979C5,00bab3
Knitting,Yarn stash,YarnStash.png,none,none